"","Code Mimosa Corrigé","Economic reintegration Score","Social reintegration score","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","10_housing","11_housing_qual","12_education","13_school","14_justice","15_id","16_documentation","17_water","18_health","19_health_qual","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","10_housing_n","11_housing_qual_n","12_education_n","13_school_n","14_justice_n","15_id_n","16_documentation_n","17_water_n","18_health_n","19_health_qual_n","20_services_construct_n","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","10_housing_dim_weight","10_housing_comp_weight","11_housing_qual_dim_weight","11_housing_qual_comp_weight","12_education_dim_weight","12_education_comp_weight","13_school_dim_weight","13_school_comp_weight","14_justice_dim_weight","14_justice_comp_weight","15_id_dim_weight","15_id_comp_weight","16_documentation_dim_weight","16_documentation_comp_weight","17_water_dim_weight","17_water_comp_weight","18_health_dim_weight","18_health_comp_weight","19_health_qual_dim_weight","19_health_qual_comp_weight","20_services_construct_dim_weight","20_services_construct_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","10_housing_dim_score","10_housing_comp_score","11_housing_qual_dim_score","11_housing_qual_comp_score","12_education_dim_score","12_education_comp_score","13_school_dim_score","13_school_comp_score","14_justice_dim_score","14_justice_comp_score","15_id_dim_score","15_id_comp_score","16_documentation_dim_score","16_documentation_comp_score","17_water_dim_score","17_water_comp_score","18_health_dim_score","18_health_comp_score","19_health_qual_dim_score","19_health_qual_comp_score","20_services_construct_dim_score","20_services_construct_comp_score","EconomicScore","SocialScore","Difference"
"11","NE1022001078",0.5725,0.3575,"Insatisfait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Très faible","Oui","Terre Bétails Actifs reçus de l'OIM","Oui","Faible","Faible","Acceptable","Oui","Je ne sais pas","Non","Faible","Acceptable","Faible","Faible",0.25,0.75,1,0.75,1,0,1,1,0,0.25,0.25,0.5,1,0.5,0,0.25,0.5,0.25,0.25,0.375,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.0375,0.0125,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0,0,0.1,0.03,0.11,0.03,0,0,0.025,0.0075,0.03,0.0075,0.055,0.015,0.07,0.02,0.06,0.02,0,0,0,0,0,0,0.05,0.015,0.0375,0.0075,0.03,0.015,0.5725,0.3575,0
"12","NE1022X002063",0.66,0.536666666666667,"Insatisfait","Jamais","Oui","Jamais","Les dépenses sont plus importantes","Faible","Oui","Terre Bétails Équipement et outils","Oui","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Acceptable","Bien","Faible","Faible",0.25,1,1,1,1,0.25,1,1,0,0.5,0.5,0.75,1,0.75,1,0.5,0.75,0.25,0.25,0.583333333333333,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.0375,0.0125,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.0466666666666667,0.0233333333333333,0.66,0.536666666666667,0
"13","NE1022X002699",0.4075,0.648333333333333,"Neutre","Jamais","Non","Jamais","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Oui","Bien","Acceptable","Acceptable","Oui","Acceptable","Oui","Bien","Bien","Bien","Acceptable",0.5,1,0,1,1,0.25,0,0,0,0.75,0.5,0.5,1,0.5,1,0.75,0.75,0.75,0.5,0.666666666666667,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.075,0.025,0.12,0.08,0,0,0.1,0.02,0.08,0.04,0.0325,0.0075,0,0,0,0,0,0,0.075,0.0225,0.06,0.015,0.055,0.015,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.0533333333333333,0.0266666666666667,0.4075,0.648333333333333,0
"14","NE1022001340",0.65,0.486666666666667,"Insatisfait","Jamais","Je ne sait pas","Jamais","Les dépenses sont plus importantes","Faible","Non","Bétails Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Bien","Oui","Bien","Non","Acceptable","Bien","Faible","Faible",0.25,1,0.5,1,1,0.25,0,1,1,0.5,0.5,0.75,1,0.75,0,0.5,0.75,0.25,0.25,0.583333333333333,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.0375,0.0125,0.12,0.08,0.04,0.01,0.1,0.02,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0,0,0,0,0,0,0.05,0.015,0.0375,0.0075,0.0466666666666667,0.0233333333333333,0.65,0.486666666666667,0
"15","NE1022X003408",0.705,0.564166666666667,"Neutre","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bâtiments et structures Actifs reçus de l'OIM","Oui","Bien","Bien","Acceptable","Oui","Bien","Oui","Acceptable","Bien","Faible","Faible",0.5,1,1,0.75,1,0.5,1,1,0,0.75,0.75,0.5,1,0.75,1,0.5,0.75,0.25,0.25,0.583333333333333,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.075,0.025,0.12,0.08,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.075,0.0225,0.09,0.0225,0.055,0.015,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.0466666666666667,0.0233333333333333,0.705,0.564166666666667,0
"16","NE1022X003413",0.565,0.53,"Neutre","Des fois ( 2 ou 3 fois le mois)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Actifs reçus de l'OIM","Oui","Acceptable","Acceptable","Acceptable","Oui","Faible","Oui","Acceptable","Bien","Acceptable","Acceptable",0.5,0.5,0,0.75,1,0.5,1,1,0,0.5,0.5,0.5,1,0.25,1,0.5,0.75,0.5,0.5,0.5,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.075,0.025,0.06,0.04,0,0,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.055,0.015,0.07,0.02,0.03,0.01,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.04,0.02,0.565,0.53,0
"17","NE1022X003414",0.3475,0.5675,"Neutre","Des fois ( 2 ou 3 fois le mois)","Non","Jamais","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Oui","Acceptable","Acceptable","Acceptable","Oui","Faible","Oui","Acceptable","Bien","Acceptable","Bien",0.5,0.5,0,1,1,0.25,0,0,0,0.5,0.5,0.5,1,0.25,1,0.5,0.75,0.5,0.75,0.5,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.075,0.025,0.06,0.04,0,0,0.1,0.02,0.08,0.04,0.0325,0.0075,0,0,0,0,0,0,0.05,0.015,0.06,0.015,0.055,0.015,0.07,0.02,0.03,0.01,0.05,0.05,0,0,0,0,0.1,0.03,0.1125,0.0225,0.04,0.02,0.3475,0.5675,0
"18","AU1022001355",0.75,0.77,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Non","Jamais","Je souhaite ne pas répondre","Bien","Oui","Terre","Non","Bien","Très bien","Très bien","Oui","Acceptable","Oui","Très bien","Acceptable","Bien","Acceptable",0.75,0.5,0,1,0.5,0.75,1,1,1,0.75,1,1,1,0.5,1,1,0.5,0.75,0.5,0.75,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.1125,0.0375,0.06,0.04,0,0,0.1,0.02,0.04,0.02,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.0225,0.12,0.03,0.11,0.03,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.06,0.03,0.75,0.77,0
"19","NE1021X051662",0.91,0.773333333333333,"Très satisfait","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Bâtiments et structures Équipement et outils Actifs reçus de l'OIM","Non","Bien","Bien","Très bien","Oui","Bien","Oui","Bien","Bien","Bien","Acceptable",1,1,1,0.75,1,0.5,1,1,1,0.75,0.75,1,1,0.75,1,0.75,0.75,0.75,0.5,0.791666666666667,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.15,0.05,0.12,0.08,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.0225,0.09,0.0225,0.11,0.03,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.0633333333333333,0.0316666666666667,0.91,0.773333333333333,0
"20","NE1022X000090",0.8025,0.54,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)",NA,"Acceptable","Oui","Bétails Équipement et outils Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Acceptable","Oui","Bien","Oui","Acceptable","Acceptable","Faible","Acceptable",0.75,0.75,1,0.75,0.5,0.5,1,1,1,0.5,0.5,0.5,1,0.75,1,0.5,0.5,0.25,0.5,0.5,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.04,0.02,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.05,0.015,0.075,0.015,0.04,0.02,0.8025,0.54,0
"21","NE1022X002061",0.77,0.679166666666667,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)",NA,"Faible","Oui","Bâtiments et structures Actifs reçus de l'OIM","Non","Bien","Acceptable","Bien","Oui","Acceptable","Oui","Bien","Bien","Bien","Acceptable",0.75,0.75,1,0.75,0.5,0.25,1,1,1,0.75,0.5,0.75,1,0.5,1,0.75,0.75,0.75,0.5,0.708333333333333,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.04,0.02,0.0325,0.0075,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.0225,0.06,0.015,0.0825,0.0225,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.0566666666666667,0.0283333333333333,0.77,0.679166666666667,0
